objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
214,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.339451,34819300.3767378,26065.5221260554
215,E07000209,Guildford, ,500408,151481,-0.56257,51.253658,271962367.118844,104284.418643209
216,E07000210,Mole Valley, ,518377,148953,-0.30603,51.227489,256062692.343843,84131.8636408524
217,E07000211,Reigate and Banstead, ,525786,152574,-0.19871,51.258461,129075767.186569,61530.859532425
218,E07000212,Runnymede, ,501777,166979,-0.53855,51.392731,79350129.2237121,37971.6520427022
219,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41552,51879237.5334626,34315.6929704065
220,E07000214,Surrey Heath, ,491362,160483,-0.68986,51.336102,97022373.4408048,46464.6679289872
221,E07000215,Tandridge, ,536365,150325,-0.04805,51.235809,247439174.255174,69708.3100381172
222,E07000216,Waverley, ,496363,140635,-0.62343,51.15686,342983597.314538,102272.670803001
223,E07000217,Woking, ,499087,157542,-0.57982,51.308369,61706657.2486309,41474.9128572714
224,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.564838,285090612.987696,96478.8783679922
225,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.500938,77956834.2374961,40985.6677355618
226,E07000220,Rugby, ,446498,276244,-1.31828,52.382278,349027031.216864,96983.2055659897
227,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.161541,979529720.230184,217998.265507716
228,E07000222,Warwick, ,428484,267113,-1.58369,52.301418,283003861.245518,91460.5108497858
229,E07000223,Adur, ,518076,106472,-0.32417,50.845718,42095385.3898062,31415.4031281457
230,E07000224,Arun, ,495144,105723,-0.64999,50.843208,224137190.6364,95802.2931330577
231,E07000225,Chichester, ,490285,116600,-0.7163,50.941769,789187106.104252,182404.365758625
232,E07000226,Crawley, ,526390,137581,-0.19533,51.123569,45831355.9339999,33575.9877817963
233,E07000227,Horsham, ,513674,123840,-0.38126,51.00272,528733666.291194,127713.431625827
234,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.059528,336802141.145494,108958.98846842
235,E07000229,Worthing, ,512679,104948,-0.40127,50.833099,30678594.6871641,25795.6303508944
236,E07000234,Bromsgrove, ,399840,273736,-2.00376,52.361691,218023939.407826,90567.132107404
237,E07000235,Malvern Hills, ,377465,252197,-2.33089,52.16758,579708192.840322,187652.467991463
238,E07000236,Redditch, ,403705,265253,-1.9471,52.285412,55070594.8725743,32533.5188480743
239,E07000237,Worcester, ,385725,255196,-2.21025,52.19482,34532078.9022447,23906.9716957587
240,E07000238,Wychavon, ,398991,247839,-2.01614,52.12886,659848231.501537,184017.081305204
241,E07000239,Wyre Forest, ,384106,276388,-2.23494,52.3853,196196712.412293,82043.4435907572
242,E07000240,St Albans, ,514580,209623,-0.3407,51.77356,158865311.523542,63002.8257210622
243,E07000241,Welwyn Hatfield, ,525345,208467,-0.18518,51.760872,129449585.049059,69326.0565963706
244,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.864849,477740893.573366,112056.97639148
245,E07000243,Stevenage, ,524622,224531,-0.18987,51.905392,26824166.0814183,22050.2143265598
246,E07000244,East Suffolk, ,636043,266272,1.456186,52.243992,1282056552.55636,249845.469189882
247,E07000245,West Suffolk, ,580944,271124,0.652769,52.308418,1034496710.38621,220613.297406248
248,E07000246,Somerset West and Taunton, ,304960,130228,-3.35766,51.06348,1192114408.32329,232773.794777251
249,E08000001,Bolton, ,368352,409873,-2.47952,53.584492,138708159.810586,64700.007374183
250,E08000002,Bury, ,379658,410768,-2.3088,53.593102,100752668.832529,57024.3439640072
251,E08000003,Manchester, ,384591,397063,-2.23359,53.470089,111895372.049991,69389.3342447621
252,E08000004,Oldham, ,396603,406784,-2.05274,53.557678,144009083.688843,60962.5161536543
253,E08000005,Rochdale, ,390315,412326,-2.14784,53.60741,156240276.628956,70324.199730632
254,E08000006,Salford, ,374556,398128,-2.38485,53.479271,97966760.8522536,56607.4574926691
255,E08000007,Stockport, ,391806,388264,-2.12467,53.391159,125536175.95343,56951.0021072012
256,E08000008,Tameside, ,394987,397995,-2.077,53.478668,102159712.453144,43841.7215072143
257,E08000009,Trafford, ,375790,391162,-2.36572,53.41671,108001520.134188,50772.155121418
258,E08000010,Wigan, ,362136,402126,-2.57247,53.51445,188328606.718359,71520.3471690407
259,E08000011,Knowsley, ,344762,393778,-2.83297,53.437881,86257644.2380194,57788.9038805922
260,E08000012,Liverpool, ,339361,390553,-2.91364,53.408298,113076469.18868,54743.3095612883
261,E08000013,St. Helens, ,353412,395992,-2.7031,53.458618,135955079.347708,64907.6417699785
262,E08000014,Sefton, ,334282,398832,-2.99177,53.482101,153603784.075741,96011.7155820691
263,E08000015,Wirral, ,329110,386965,-3.06701,53.374779,156254950.462527,73355.3038389829
264,E08000016,Barnsley, ,429979,403327,-1.54925,53.525768,327231730.553473,106147.881594816
265,E08000017,Doncaster, ,459167,403735,-1.10894,53.52697,568185323.243076,116466.43972459
266,E08000018,Rotherham, ,447542,388980,-1.28651,53.395531,289185192.302457,88845.3632514067
267,E08000019,Sheffield, ,430511,389736,-1.54254,53.40358,366749529.310544,114173.751548163
268,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65297,55.021011,114647993.930547,53458.4213393437
269,E08000022,North Tyneside, ,431471,570602,-1.50923,55.028961,83154622.5532684,51169.6648416798
270,E08000023,South Tyneside, ,435514,564057,-1.44679,54.969879,62745878.0819375,40133.9177111525
271,E08000024,Sunderland, ,436470,551524,-1.43344,54.857189,136500589.76592,58504.4469901359
272,E08000025,Birmingham, ,408150,287352,-1.88141,52.484039,269026608.653708,88776.3432187492
273,E08000026,Coventry, ,432807,279689,-1.51908,52.41423,99799013.6588534,43481.4057273993
274,E08000027,Dudley, ,393191,288584,-2.10171,52.495129,97264778.3218863,60125.223757091
275,E08000028,Sandwell, ,399573,290764,-2.00771,52.514771,85222122.4991141,48306.2485949538
276,E08000029,Solihull, ,419434,281483,-1.71558,52.431,177542587.905798,82695.4607729401
277,E08000030,Walsall, ,402098,300804,-1.97044,52.60503,104027261.810831,49836.872832422
278,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.597881,69466620.7597763,41126.9610793464
279,E08000032,Bradford, ,408395,438626,-1.87389,53.843819,368386843.278937,113226.190390702
280,E08000033,Calderdale, ,402617,424896,-1.96182,53.720482,367618489.551429,94050.2456636633
281,E08000034,Kirklees, ,414586,416223,-1.78085,53.64233,405306353.685126,106837.808448503
282,E08000035,Leeds, ,432528,436384,-1.50736,53.822731,550578568.510784,133753.100810667
283,E08000036,Wakefield, ,438366,418235,-1.42092,53.659222,337273074.664593,90373.7393822192
284,E08000037,Gateshead, ,420168,559658,-1.6868,54.931198,145563182.476313,68298.6074575553
285,E09000001,City of London, ,532381,181359,-0.09353,51.515652,2505777.02786199,6744.95949914722
286,E09000002,Barking and Dagenham, ,547757,185111,0.129479,51.545551,36924214.3392047,30967.5889455732
287,E09000003,Barnet, ,523472,191753,-0.21821,51.61108,86643073.1183926,41838.7863086401
288,E09000004,Bexley, ,549203,175435,0.146227,51.458229,60423297.1620887,36180.6204259307
289,E09000005,Brent, ,519615,186468,-0.27568,51.564411,44168269.9005987,33233.9122796264
290,E09000006,Bromley, ,542036,165708,0.039246,51.372669,150198156.303863,63033.4499382732
291,E09000007,Camden, ,527492,184284,-0.16289,51.54306,21274131.0329243,22056.4535363452
292,E09000008,Croydon, ,533922,164745,-0.07761,51.365978,85993776.890795,46725.3082664981
293,E09000009,Ealing, ,517057,181960,-0.31407,51.524429,54712230.1551239,39308.2766403901
294,E09000010,Enfield, ,532829,196197,-0.08147,51.64888,83022176.2666717,37692.7193126977
295,E09000011,Greenwich, ,542508,175878,0.050107,51.463928,47629632.1074383,36587.9998016025
296,E09000012,Hackney, ,534560,185787,-0.06045,51.55492,19833986.2849618,21347.1681882351
297,E09000013,Hammersmith and Fulham, ,523867,177993,-0.21735,51.487331,17587229.6356423,20818.2219430807
298,E09000014,Haringey, ,531262,189349,-0.10667,51.587711,28655635.1073806,25651.9550307924
299,E09000015,Harrow, ,515356,189736,-0.33603,51.594669,51786258.0117432,31190.5711334888
300,E09000016,Havering, ,555032,187514,0.235368,51.565189,113836320.122514,56527.1724231706
301,E09000017,Hillingdon, ,508166,183120,-0.44182,51.536629,115520674.208015,55989.039759977
302,E09000018,Hounslow, ,512742,174965,-0.37847,51.462429,55053197.9539297,46819.5788885974
303,E09000019,Islington, ,531158,184647,-0.10992,51.545479,15152148.9488675,17531.1070758059
304,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.496441,11701510.1005279,17908.01387591
305,E09000021,Kingston upon Thames, ,519508,167389,-0.28367,51.39296,38007491.6151713,33047.6953786371
306,E09000022,Lambeth, ,531118,175629,-0.11385,51.464451,26699841.4302583,28992.7973091666
307,E09000023,Lewisham, ,537889,173344,-0.01733,51.44231,34283465.7745484,30696.0849939073
308,E09000024,Merton, ,526069,169507,-0.18867,51.410568,37361486.4314039,27902.779652863
309,E09000025,Newham, ,540715,183344,0.027289,51.531471,36598559.5451482,25147.5665661059
310,E09000026,Redbridge, ,543511,189478,0.070071,51.585892,56904414.9598885,35940.7416600935
311,E09000027,Richmond upon Thames, ,519005,172650,-0.28914,51.44035,59203313.3047862,45618.5875248402
312,E09000028,Southwark, ,533947,175866,-0.07306,51.465919,30251139.1382028,28468.1335211354
313,E09000029,Sutton, ,527356,163640,-0.17227,51.357559,44475059.9119264,32956.4110258198
314,E09000030,Tower Hamlets, ,536343,181452,-0.03643,51.515541,19546971.6690641,21634.9575644852
315,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.594608,39257107.8012509,28340.636734313
316,E09000032,Wandsworth, ,525151,174138,-0.20023,51.4524,34625993.0971325,33953.268991287
317,E09000033,Westminster, ,528268,180870,-0.15295,51.512199,22938487.0702324,22668.1689700603
318,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.1776,54.693859,725800900.12023,145231.019636579
319,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.43455,54.3867,1436130448.75273,200894.669391745
320,N09000003,Belfast, ,146465,529747,-5.92535,54.59853,137794023.258213,55370.610909433
321,N09000004,Causeway Coast and Glens, ,106168,581420,-6.5996,55.039619,1985252734.92858,285674.037232754
322,N09000005,Derry City and Strabane, ,51779,559566,-7.42064,54.80904,1246637562.27684,232729.547862668
323,N09000006,Fermanagh and Omagh, ,41233,513013,-7.5271,54.385208,3009094379.02078,353603.40645379
324,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03545,54.49752,511681221.176645,133181.9440907
325,N09000008,Mid and East Antrim, ,133943,560151,-6.14645,54.86462,1064497440.11096,198438.995199782
326,N09000009,Mid Ulster, ,83920,528564,-6.8889,54.552731,1960344170.37938,267949.60561336
327,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.08891,54.149529,1686596198.00009,292916.734120241
328,N09000011,Ards and North Down, ,164321,524944,-5.64568,54.564091,568030925.637652,133209.664417329
